accession	clade
KY888026	C1.3
KY952186	B5
LC321989	B5
LC321990	C1.3
LC321991	C1.3
LC321992	B5
LC321993	B5
LC375764	C2
LC375766	B5
LC506513	C4
LC506514	C1
LC626872	B5
LC626873	B5
LC626874	B5
LC626875	B5
LC626876	B5
LC626877	B5
LC626878	B5
LC626879	B5
LC626880	C4
LC626881	C4
LC626882	C4
LC626883	C4
LC626884	C4
LC626885	C4
LC626886	C4
LC626887	C4
LC626888	C4
LC626889	C4
LC626890	C4
LC626891	C4
LC626892	C4
LC626893	C4
LC626894	C4
LC626895	C4
LC626896	C4
LC626897	C4
LC626898	C4
LC626899	C4
LC626900	B5
LC626901	B5
LC627066	B5
LC627067	B5
LC627068	B5
LC627070	B5
LC627071	B5
LC627072	B5
LC627073	B5
LC627074	B5
LC627076	B5
LC627078	B5
LC627079	B5
LC627080	B5
LC627081	B5
LC627082	B5
LC627083	B5
LC627084	B5
LC627085	C4
LC627086	C4
LC627087	C4
LC627088	C4
LC627091	C4
LC627092	C4
LR027521	C1.3
LR027524	C1.3
LR027527	C1.3
LR027529	C1.3
LR027530	C1.3
LR027532	C1.3
LR027537	C1.3
LR027538	C1.3
LR027539	C1.3
LR027541	C1
LR027542	C1
LR027543	C1
LR027544	C1
LR027545	C1
LR027547	C1
LT719063	F
LT719064	F
LT719065	F
LT719066	F
LT719067	C1
LT719068	E
MF431793	C4
MF662677	C4
MF662682	C4
MF662688	C4
MF662690	C4
MF662691	C4
MF662692	C4
MF662694	C4
MF662695	C4
MF662696	C4
MF662697	C4
MF662698	C4
MF662701	C4
MG013988	C2.3
MG208882	C4
MG214681	C2
MG367594	C1
MG367595	C1.3
MG367596	C1.3
MG367597	C1.3
MG367598	C1.3
MG367599	C1.3
MG367600	C1.2
MG431943	C4
MG432108	B2
MG672478	E
MG672481	C2.3
MG756691	C4
MG756692	C4
MG756693	C4
MG756694	B5
MG756695	B5
MG756696	C4
MG756697	C4
MG756698	C4
MG756699	C4
MG756700	C4
MG756701	C4
MG756702	C4
MG756703	C4
MG756704	C4
MG756705	C5
MG756706	B5
MG756707	B5
MG756708	B5
MG756710	B5
MG756712	B5
MG756714	B5
MG756715	C4
MG756716	C4
MG756717	C4
MG756718	C4
MG756719	C4
MG756720	C4
MG756721	B5
MG756722	C4
MG756723	B5
MG756725	C4
MG756729	B5
MG756731	B5
MG756735	B5
MG756737	B5
MG756739	B5
MG756743	B5
MG756744	B5
MG756745	B5
MG756747	B5
MG756749	B5
MG756751	B5
MG756752	B5
MG756753	B5
MG756754	B5
MG773125	C4
MG773126	C4
MG976581	C2
MG976582	C2
MH111073	C2
MH484066	C1.3
MH484069	C1.3
MH484070	C1.3
MH716248	C4
MH716250	C4
MH716252	C4
MH716255	C4
MH716256	C4
MH716261	B5
MH716264	B5
MH716265	B5
MH716268	B5
MH716270	B5
MH716275	B5
MH716277	B5
MH716287	B5
MH716290	B5
MH716292	B5
MH716295	B5
MH716297	B5
MH716299	B5
MH716300	B5
MH716301	B5
MH716304	B5
MH716305	B5
MH716306	B5
MH716307	B5
MH716321	B5
MH716323	B5
MH716326	B5
MH716329	B5
MH716333	B5
MH716337	B5
MH716338	B5
MH716343	B5
MH716344	B5
MH716347	B5
MH716348	B5
MH716352	B5
MH716360	B5
MH716364	B5
MH716367	B5
MH716369	B5
MH716373	B5
MH716375	B5
MH716380	B5
MH716383	B5
MH716388	B5
MH716393	B5
MH718269	C1.3
MK344771	B5
MK652139	C1
MK697678	C4
MK697679	C4
MK697680	C4
MK697685	C4
MK697686	C4
MK697687	C4
MK697690	C4
MK697691	C4
MK697692	C4
MK697693	C4
MK697694	C4
MK791153	C4
MK800119	C1.3
MN053430	B5
MN053431	B5
MN053432	B5
MN053433	B5
MN053434	B5
MN053435	B5
MN254979	C4
MN515037	C1.3
MN629889	B5
MN747118	C4
MN749160	C2
MN749161	C2
MT081373	C1.3
MT081374	C1.3
MT081375	C1.3
MT188611	B3
MT360984	B5
MT360985	B5
MT360986	B5
MT360990	B5
MT360991	B5
MT360994	B5
MT360995	B5
MT360996	B5
MT360998	B5
MT708799	C1.3
MT708800	C1.3
MT708801	C1.3
MT708802	C1.3
MT708803	C1.3
MT708804	C4
MW354736	C1.3
MW354737	C1.3
MW354738	C1.3
MW354739	C1.3
MW354740	C1.3
MW354741	C1.3
MW354742	C1.3
MW354743	C1.3
MW354744	C1.3
MW354745	C1.3
MW354746	C1.3
MW473684	C1
MW655539	C4
MW655540	C4
NODE_0000000	unassigned
NODE_0000001	unassigned
NODE_0000002	B
NODE_0000003	B
NODE_0000004	B
NODE_0000005	B3
NODE_0000006	B3
NODE_0000007	B
NODE_0000008	B2
NODE_0000009	B2
NODE_0000010	B2
NODE_0000011	B2
NODE_0000012	B2
NODE_0000013	B2
NODE_0000014	B1
NODE_0000015	B1
NODE_0000016	B1
NODE_0000017	B1
NODE_0000018	B1
NODE_0000019	B1
NODE_0000020	B1
NODE_0000021	B1
NODE_0000022	B1
NODE_0000023	B1
NODE_0000024	B4
NODE_0000025	B4
NODE_0000026	B4
NODE_0000027	B4
NODE_0000028	B5
NODE_0000029	B5
NODE_0000030	B5
NODE_0000031	B5
NODE_0000032	B5
NODE_0000033	B5
NODE_0000034	B5
NODE_0000035	B5
NODE_0000036	B5
NODE_0000037	B5
NODE_0000038	B5
NODE_0000039	B5
NODE_0000040	B5
NODE_0000041	B5
NODE_0000042	B5
NODE_0000043	B5
NODE_0000044	B5
NODE_0000045	B5
NODE_0000046	B5
NODE_0000047	B5
NODE_0000048	B5
NODE_0000049	B5
NODE_0000050	B5
NODE_0000051	B5
NODE_0000052	B5
NODE_0000053	B5
NODE_0000054	B5
NODE_0000055	B5
NODE_0000056	B5
NODE_0000057	B5
NODE_0000058	B5
NODE_0000059	B5
NODE_0000060	B5
NODE_0000061	B5
NODE_0000062	B5
NODE_0000063	B5
NODE_0000064	B5
NODE_0000065	B5
NODE_0000066	B5
NODE_0000067	B5
NODE_0000068	B5
NODE_0000069	B5
NODE_0000070	B5
NODE_0000071	B5
NODE_0000072	B5
NODE_0000073	B5
NODE_0000074	B5
NODE_0000075	B5
NODE_0000076	B5
NODE_0000077	B5
NODE_0000078	B5
NODE_0000079	B5
NODE_0000080	B5
NODE_0000081	B5
NODE_0000082	B5
NODE_0000083	B5
NODE_0000084	B5
NODE_0000085	B5
NODE_0000086	B5
NODE_0000087	B5
NODE_0000088	B5
NODE_0000089	B5
NODE_0000090	B5
NODE_0000091	B5
NODE_0000092	B5
NODE_0000093	B5
NODE_0000094	B5
NODE_0000095	B5
NODE_0000096	B5
NODE_0000097	B5
NODE_0000098	B5
NODE_0000099	B5
NODE_0000100	B5
NODE_0000101	B5
NODE_0000102	B5
NODE_0000103	B5
NODE_0000104	B5
NODE_0000105	B5
NODE_0000106	B5
NODE_0000107	B5
NODE_0000108	B5
NODE_0000109	B5
NODE_0000110	B5
NODE_0000111	B5
NODE_0000112	B5
NODE_0000113	B5
NODE_0000114	B5
NODE_0000115	B5
NODE_0000116	B5
NODE_0000117	B5
NODE_0000118	B5
NODE_0000119	B5
NODE_0000120	B5
NODE_0000121	B5
NODE_0000122	B5
NODE_0000123	B5
NODE_0000124	B5
NODE_0000125	B5
NODE_0000126	B5
NODE_0000127	B5
NODE_0000128	B5
NODE_0000129	B5
NODE_0000130	B5
NODE_0000131	B5
NODE_0000132	B5
NODE_0000133	B5
NODE_0000134	B5
NODE_0000135	B5
NODE_0000136	B5
NODE_0000137	B5
NODE_0000138	B5
NODE_0000139	B5
NODE_0000140	B5
NODE_0000141	B5
NODE_0000142	B5
NODE_0000143	B5
NODE_0000144	B5
NODE_0000145	B5
NODE_0000146	B5
NODE_0000147	B5
NODE_0000148	B5
NODE_0000149	B5
NODE_0000150	B5
NODE_0000151	B5
NODE_0000152	B5
NODE_0000153	B5
NODE_0000154	B5
NODE_0000155	B5
NODE_0000156	B5
NODE_0000157	B5
NODE_0000158	B5
NODE_0000159	B5
NODE_0000160	B5
NODE_0000161	B5
NODE_0000162	B5
NODE_0000163	B5
NODE_0000164	B5
NODE_0000165	B5
NODE_0000166	B5
NODE_0000167	B5
NODE_0000168	B5
NODE_0000169	B5
NODE_0000170	B5
NODE_0000171	B5
NODE_0000172	B5
NODE_0000173	B5
NODE_0000174	B5
NODE_0000175	B5
NODE_0000176	B5
NODE_0000177	B5
NODE_0000178	B5
NODE_0000179	B5
NODE_0000180	B5
NODE_0000181	B5
NODE_0000182	B5
NODE_0000183	B5
NODE_0000184	B5
NODE_0000185	B5
NODE_0000186	B5
NODE_0000187	B5
NODE_0000188	B5
NODE_0000189	B5
NODE_0000190	B5
NODE_0000191	B5
NODE_0000192	B5
NODE_0000193	B5
NODE_0000194	B5
NODE_0000195	B5
NODE_0000196	B5
NODE_0000197	B5
NODE_0000198	B5
NODE_0000199	B5
NODE_0000200	B5
NODE_0000201	B5
NODE_0000202	B5
NODE_0000203	B5
NODE_0000204	B5
NODE_0000205	B5
NODE_0000206	B5
NODE_0000207	B5
NODE_0000208	B5
NODE_0000209	B5
NODE_0000210	B5
NODE_0000211	B5
NODE_0000212	B5
NODE_0000213	B5
NODE_0000214	B5
NODE_0000215	B5
NODE_0000216	B5
NODE_0000217	B5
NODE_0000218	B5
NODE_0000219	B5
NODE_0000220	B5
NODE_0000221	B5
NODE_0000222	B5
NODE_0000223	B5
NODE_0000224	B5
NODE_0000225	B5
NODE_0000226	B5
NODE_0000227	B5
NODE_0000228	B5
NODE_0000229	B5
NODE_0000230	B5
NODE_0000231	B5
NODE_0000232	B5
NODE_0000233	B5
NODE_0000234	B5
NODE_0000235	B5
NODE_0000236	B5
NODE_0000237	B5
NODE_0000238	B5
NODE_0000239	B5
NODE_0000240	B5
NODE_0000241	B5
NODE_0000242	B5
NODE_0000243	C
NODE_0000244	C
NODE_0000245	C2.2
NODE_0000246	C2.2
NODE_0000247	C
NODE_0000248	C
NODE_0000249	C5
NODE_0000250	C5
NODE_0000251	C
NODE_0000252	C1
NODE_0000253	C1
NODE_0000254	C1
NODE_0000255	C1
NODE_0000256	C1
NODE_0000257	C1
NODE_0000258	C1
NODE_0000259	C1
NODE_0000260	C1
NODE_0000261	C1
NODE_0000262	C1
NODE_0000263	C1
NODE_0000264	C1
NODE_0000265	C1
NODE_0000266	C1
NODE_0000267	C1
NODE_0000268	C1
NODE_0000269	C1
NODE_0000270	C1
NODE_0000271	C1
NODE_0000272	C1
NODE_0000273	C
NODE_0000274	C3
NODE_0000275	C2
NODE_0000276	C2
NODE_0000277	C2
NODE_0000278	C2
NODE_0000279	C2
NODE_0000280	C2
NODE_0000281	C2
NODE_0000282	C2
NODE_0000283	C2
NODE_0000284	C2
NODE_0000285	C2
NODE_0000286	C2
NODE_0000287	C2
NODE_0000288	C2
NODE_0000289	C2
NODE_0000290	C2
NODE_0000291	C2
NODE_0000292	C2
NODE_0000293	C2
NODE_0000294	C2
NODE_0000295	C2
NODE_0000296	C2
NODE_0000297	C2
NODE_0000298	C2
NODE_0000299	C2
NODE_0000300	C2
NODE_0000301	C2
NODE_0000302	C2
NODE_0000303	C2
NODE_0000304	C2
NODE_0000305	C2
NODE_0000306	C2
NODE_0000307	C2
NODE_0000308	C2
NODE_0000309	C2
NODE_0000310	C2
NODE_0000311	C2
NODE_0000312	C2
NODE_0000313	C2
NODE_0000314	C2
NODE_0000315	C2
NODE_0000316	C2
NODE_0000317	C2
NODE_0000318	C2
NODE_0000319	C2
NODE_0000320	C2
NODE_0000321	C2
NODE_0000322	C2
NODE_0000323	C2
NODE_0000324	C2
NODE_0000325	C2
NODE_0000326	C2
NODE_0000327	C2
NODE_0000328	C2
NODE_0000329	C2
NODE_0000330	C2
NODE_0000331	C2
NODE_0000332	C2
NODE_0000333	C2
NODE_0000334	C2
NODE_0000335	C2
NODE_0000336	C2
NODE_0000337	C2
NODE_0000338	C2
NODE_0000339	C2
NODE_0000340	C2
NODE_0000341	C2
NODE_0000342	C2
NODE_0000343	C2
NODE_0000344	C2
NODE_0000345	C2
NODE_0000346	C2
NODE_0000347	C2
NODE_0000348	C
NODE_0000349	C2.3
NODE_0000350	C2.3
NODE_0000351	C2.3
NODE_0000352	C2.3
NODE_0000353	C2.3
NODE_0000354	C2.3
NODE_0000355	C
NODE_0000356	C1.2
NODE_0000357	C1.2
NODE_0000358	C1.2
NODE_0000359	C1.2
NODE_0000360	C
NODE_0000361	C
NODE_0000362	E
NODE_0000363	F
NODE_0000364	F
NODE_0000365	F
NODE_0000366	F
NODE_0000367	C1.3
NODE_0000368	C1.3
NODE_0000369	C1.3
NODE_0000370	C1.3
NODE_0000371	C1.3
NODE_0000372	C1.3
NODE_0000373	C1.3
NODE_0000374	C1.3
NODE_0000375	C1.3
NODE_0000376	C1.3
NODE_0000377	C1.3
NODE_0000378	C1.3
NODE_0000379	C1.3
NODE_0000380	C1.3
NODE_0000381	C1.3
NODE_0000382	C1.3
NODE_0000383	C1.3
NODE_0000384	C1.3
NODE_0000385	C1.3
NODE_0000386	C1.3
NODE_0000387	C1.3
NODE_0000388	C1.3
NODE_0000389	C1.3
NODE_0000390	C1.3
NODE_0000391	C1.3
NODE_0000392	C1.3
NODE_0000393	C1.3
NODE_0000394	C1.3
NODE_0000395	C1.3
NODE_0000396	C1.3
NODE_0000397	C1.3
NODE_0000398	C1.3
NODE_0000399	C1.3
NODE_0000400	C1.3
NODE_0000401	C1.3
NODE_0000402	C1.3
NODE_0000403	C1.3
NODE_0000404	C1.3
NODE_0000405	C1.3
NODE_0000406	C1.3
NODE_0000407	C1.3
NODE_0000408	C1.3
NODE_0000409	C1.3
NODE_0000410	C1.3
NODE_0000411	C1.3
NODE_0000412	C1.3
NODE_0000413	C1.3
NODE_0000414	C1.3
NODE_0000415	C1.3
NODE_0000416	C1.3
NODE_0000417	C1.3
NODE_0000418	C1.3
NODE_0000419	C1.3
NODE_0000420	C1.3
NODE_0000421	C1.3
NODE_0000422	C1.3
NODE_0000423	C1.3
NODE_0000424	C1.3
NODE_0000425	C1.3
NODE_0000426	C1.3
NODE_0000427	C1.3
NODE_0000428	C1.3
NODE_0000429	C1.3
NODE_0000430	C1.3
NODE_0000431	C1.3
NODE_0000432	C1.3
NODE_0000433	C1.3
NODE_0000434	C1.3
NODE_0000435	C1.3
NODE_0000436	C1.3
NODE_0000437	C1.3
NODE_0000438	C1.3
NODE_0000439	C1.3
NODE_0000440	C1.3
NODE_0000441	C1.3
NODE_0000442	C1.3
NODE_0000443	C1.3
NODE_0000444	C1.3
NODE_0000445	C1.3
NODE_0000446	C1.3
NODE_0000447	C1.3
NODE_0000448	C1.3
NODE_0000449	C1.3
NODE_0000450	C1.3
NODE_0000451	C1.3
NODE_0000452	C1.3
NODE_0000453	C1.3
NODE_0000454	C1.3
NODE_0000455	C1.3
NODE_0000456	C1.3
NODE_0000457	C1.3
NODE_0000458	C1.3
NODE_0000459	C1.3
NODE_0000460	C1.3
NODE_0000461	C1.3
NODE_0000462	C1.3
NODE_0000463	C1.3
NODE_0000464	C1.3
NODE_0000465	C1.3
NODE_0000466	C1.3
NODE_0000467	C1.3
NODE_0000468	C1.3
NODE_0000469	C1.3
NODE_0000470	C1.3
NODE_0000471	C1.3
NODE_0000472	C1.3
NODE_0000473	C1.3
NODE_0000474	C1.3
NODE_0000475	C1.3
NODE_0000476	C1.3
NODE_0000477	C1.3
NODE_0000478	C1.3
NODE_0000479	C1.3
NODE_0000480	C1.3
NODE_0000481	C1.3
NODE_0000482	C1.3
NODE_0000483	C1.3
NODE_0000484	C1.3
NODE_0000485	C1.3
NODE_0000486	C1.3
NODE_0000487	C1.3
NODE_0000488	C1.3
NODE_0000489	C1.3
NODE_0000490	C1.3
NODE_0000491	C1.3
NODE_0000492	C1.3
NODE_0000493	C1.3
NODE_0000494	C1.3
NODE_0000495	C1.3
NODE_0000496	C1.3
NODE_0000497	C1.3
NODE_0000498	C1.3
NODE_0000499	C1.3
NODE_0000500	C1.3
NODE_0000501	C1.3
NODE_0000502	C1.3
NODE_0000503	C1.3
NODE_0000504	C1.3
NODE_0000505	C1.3
NODE_0000506	C1.3
NODE_0000507	C1.3
NODE_0000508	C1.3
NODE_0000509	C1.3
NODE_0000510	C1.3
NODE_0000511	C1.3
NODE_0000512	C1.3
NODE_0000513	C1.3
NODE_0000514	C1.3
NODE_0000515	C1.3
NODE_0000516	C1.3
NODE_0000517	C1.3
NODE_0000518	C1.3
NODE_0000519	C1.3
NODE_0000520	C1.3
NODE_0000521	C1.3
NODE_0000522	C1.3
NODE_0000523	C1.3
NODE_0000524	C1.3
NODE_0000525	C1.3
NODE_0000526	C1.3
NODE_0000527	C1.3
NODE_0000528	C1.3
NODE_0000529	C1.3
NODE_0000530	C1.3
NODE_0000531	C1.3
NODE_0000532	C4
NODE_0000533	C4
NODE_0000534	C4
NODE_0000535	C4
NODE_0000536	C4
NODE_0000537	C4
NODE_0000538	C4
NODE_0000539	C4
NODE_0000540	C4
NODE_0000541	C4
NODE_0000542	C4
NODE_0000543	C4
NODE_0000544	C4
NODE_0000545	C4
NODE_0000546	C4
NODE_0000547	C4
NODE_0000548	C4
NODE_0000549	C4
NODE_0000550	C4
NODE_0000551	C4
NODE_0000552	C4
NODE_0000553	C4
NODE_0000554	C4
NODE_0000555	C4
NODE_0000556	C4
NODE_0000557	C4
NODE_0000558	C4
NODE_0000559	C4
NODE_0000560	C4
NODE_0000561	C4
NODE_0000562	C4
NODE_0000563	C4
NODE_0000564	C4
NODE_0000565	C4
NODE_0000566	C4
NODE_0000567	C4
NODE_0000568	C4
NODE_0000569	C4
NODE_0000570	C4
NODE_0000571	C4
NODE_0000572	C4
NODE_0000573	C4
NODE_0000574	C4
NODE_0000575	C4
NODE_0000576	C4
NODE_0000577	C4
NODE_0000578	C4
NODE_0000579	C4
NODE_0000580	C4
NODE_0000581	C4
NODE_0000582	C4
NODE_0000583	C4
NODE_0000584	C4
NODE_0000585	C4
NODE_0000586	C4
NODE_0000587	C4
NODE_0000588	C4
NODE_0000589	C4
NODE_0000590	C4
NODE_0000591	C4
NODE_0000592	C4
NODE_0000593	C4
NODE_0000594	C4
NODE_0000595	C4
NODE_0000596	C4
NODE_0000597	C4
NODE_0000598	C4
NODE_0000599	C4
NODE_0000600	C4
NODE_0000601	C4
NODE_0000602	C4
NODE_0000603	C4
NODE_0000604	C4
NODE_0000605	C4
NODE_0000606	C4
NODE_0000607	C4
NODE_0000608	C4
NODE_0000609	C4
NODE_0000610	C4
NODE_0000611	C4
NODE_0000612	C4
NODE_0000613	C4
NODE_0000614	C4
NODE_0000615	C4
NODE_0000616	C4
NODE_0000617	C4
NODE_0000618	C4
NODE_0000619	C4
NODE_0000620	C4
NODE_0000621	C4
NODE_0000622	C4
NODE_0000623	C4
NODE_0000624	C4
NODE_0000625	C4
NODE_0000626	C4
NODE_0000627	C4
NODE_0000628	C4
NODE_0000629	C4
NODE_0000630	C4
NODE_0000631	C4
NODE_0000632	C4
NODE_0000633	C4
NODE_0000634	C4
NODE_0000635	C4
NODE_0000636	C4
NODE_0000637	C4
NODE_0000638	C4
NODE_0000639	C4
NODE_0000640	C4
NODE_0000641	C4
NODE_0000642	C4
NODE_0000643	C4
NODE_0000644	C4
NODE_0000645	C4
NODE_0000646	C4
NODE_0000647	C4
NODE_0000648	C4
NODE_0000649	C4
NODE_0000650	C4
NODE_0000651	C4
NODE_0000652	C4
NODE_0000653	C4
NODE_0000654	C4
NODE_0000655	C4
NODE_0000656	C4
NODE_0000657	C4
NODE_0000658	C4
NODE_0000659	C4
NODE_0000660	C4
NODE_0000661	C4
NODE_0000662	C4
NODE_0000663	C4
NODE_0000664	C4
NODE_0000665	C4
NODE_0000666	C4
NODE_0000667	C4
NODE_0000668	C4
NODE_0000669	C4
NODE_0000670	C4
NODE_0000671	C4
NODE_0000672	C4
NODE_0000673	C4
NODE_0000674	C4
NODE_0000675	C4
NODE_0000676	C4
NODE_0000677	C4
NODE_0000678	C4
NODE_0000679	C4
NODE_0000680	C4
NODE_0000681	C4
NODE_0000682	C4
NODE_0000683	C4
NODE_0000684	C4
NODE_0000685	C4
NODE_0000686	C4
NODE_0000687	C4
NODE_0000688	C4
NODE_0000689	C4
NODE_0000690	C4
NODE_0000691	C4
NODE_0000692	C4
NODE_0000693	C4
NODE_0000694	C4
NODE_0000695	C4
NODE_0000696	C4
NODE_0000697	C4
NODE_0000698	C4
NODE_0000699	C4
NODE_0000700	C4
NODE_0000701	C4
NODE_0000702	C4
NODE_0000703	C4
NODE_0000704	C4
NODE_0000705	C4
NODE_0000706	C4
NODE_0000707	C4
NODE_0000708	C4
NODE_0000709	C4
NODE_0000710	C4
NODE_0000711	C4
NODE_0000712	C4
NODE_0000713	C4
NODE_0000714	C4
NODE_0000715	C4
NODE_0000716	C4
NODE_0000717	C4
NODE_0000718	C4
NODE_0000719	C4
NODE_0000720	C4
NODE_0000721	C4
NODE_0000722	C4
NODE_0000723	C4
NODE_0000724	C4
NODE_0000725	C4
NODE_0000726	C4
NODE_0000727	C4
NODE_0000728	C4
NODE_0000729	C4
NODE_0000730	C4
NODE_0000731	C4
NODE_0000732	C4
NODE_0000733	C4
NODE_0000734	C4
NODE_0000735	C4
NODE_0000736	C4
NODE_0000737	C4
NODE_0000738	C4
NODE_0000739	C4
NODE_0000740	C4
NODE_0000741	C4
NODE_0000742	C4
NODE_0000743	C4
NODE_0000744	C4
NODE_0000745	C4
NODE_0000746	C4
NODE_0000747	C4
NODE_0000748	C4
NODE_0000749	C4
NODE_0000750	C4
NODE_0000751	C4
NODE_0000752	C4
NODE_0000753	C4
NODE_0000754	C4
NODE_0000755	C4
NODE_0000756	C4
NODE_0000757	C4
NODE_0000758	C4
NODE_0000759	C4
NODE_0000760	C4
NODE_0000761	C4
NODE_0000762	C4
NODE_0000763	C4
NODE_0000764	C4
NODE_0000765	C4
NODE_0000766	C4
NODE_0000767	C4
NODE_0000768	C4
NODE_0000769	C4
NODE_0000770	C4
NODE_0000771	C4
NODE_0000772	C4
NODE_0000773	C4
